,Chengyu,Definition
2007,力所不及,"Song Su Shi's ""Zhonghe Shengxiangyuan Ji"": ""Everywhere, it is hard and hard, and it is more than 100 billion births."""
2008,心向往之,"Song Fan Zhongyan's ""The Story of Yueyang Tower"": ""Mighty and mighty, it spans the horizon of husband and wife."""
2009,风云际会,"Shen Hugen's ""Little Junior Brother"": ""And he has become so dumb, even his mother will look cold when he comes to see him."""
2010,壮志未酬,"""Jingben Popular Novel: Feng Yumei's Reunion"": ""Xu Xin heard the words and was very uneasy. He lost his wife in Yucheng, and went to Suiyang Village to meet this woman, and detailed the story."""
2011,政出多门,"""Zuo Zhuan: Xuangong Fifteen Years"": ""The proverb says: 'The high and the low are in the heart, the rivers and the zealots tolerate the filth, the mountains hide the diseases, and the Jinyu hides the flaws.'"
2012,议论纷纷,"Zhuang Zhou's ""Zhuangzi Zaiyou"": ""The general of Hongmeng will swim with joy."""
2013,足不出户,"Han Liuxi's ""Release the Name, Release the Car"": ""The travel ring is on the back of the service horse, and the bridle outside the horse is attached to it. Before moving, there is no fixed place."""
2014,从恶如崩,"Han Bangu's ""Dubin Opera"": ""Dividing the Xia, the dragon and the tiger fight."""
2015,热情洋溢,"Song Jiang Kui's ""Saint Song Song and Songs: Shi Yu Pei"": ""The king of five leaders, the blind wind and strange clouds, the poisonous snake Zhenzhen, are indifferent to each other."""
2016,学海无涯,"""The Analects of Confucius, Liren"": ""Scholars who are in the Tao and are ashamed of bad clothes and bad food are not enough to discuss."""
2017,蚍蜉撼树,"Wei Cao Pi's ""Dian Lun ,  Essays"": ""Fuwen, the original is the same but the last is different."""
2018,语言无味,"Tang, Shen Qiqi's ""Shangsi Rijiu and Weibin should be made"": ""BMW incense car Qingweibin, red peaches, blue willows and Tangchun."""
2019,愚公移山,"""Zuo Zhuan, Xi Gong Twenty-eight Years"": ""The danger is difficult to prepare for."""
2020,霸王别姬,"Qing Li Ruzhen's ""The Mirror of Flowers"" Chapter 91: ""I can't tell jokes, so I have to make a small order."""
2021,一叶障目,"Han Wang Chong's ""Lunheng, Feng Yu"": ""In the summer, you enter the furnace, and in the winter, you play the fan, do things you don't want to get, and offer words you don't want to hear. It's fortunate that you don't encounter disasters."""
2022,孟母三迁,"Yuan Guan Hanqing's ""Single Sword Club"" first fold: ""Although he has many brothers, he has few soldiers and few generals."""
2023,水火无情,"Yuan Guan Hanqing's ""Wangjiang Pavilion"" the fourth fold: ""He only needs to forcibly take apart my long and mixed branches, and cut off my trembling parallel lotus. In fact, he will be wronged."""
2024,游山玩水,"Yuan Yang Xianzhi's ""Xiaoxiang Rain"" 4th fold: ""I will tell you thousands of times, you are partial to the trombone and cry."""
2025,孔孟之道,"""Puliu Family Postscript"": ""The family listened, first they were angry and scared, and then they were moved by Zhao Luming's chivalrous courage and enthusiasm."""
2026,刚柔相济,"Jin Lu Ji's ""Xie Pingyuan Inner History Table"": ""A piece of writing is only a word, and it does not concern the middle."""
2027,成败得失,"Song Liuyong's ""Rain Lingling"" lyrics: ""Where to wake up tonight, Yangliu Bank, Xiaofeng and waning moon."""
2028,以暴易暴,"Feng Zhi's ""Mr. Zhu Ziqing"": ""The same party fights against differences, and the harshness and lack of thought cannot be read in the words written by Mr. Zhu."""
2029,能工巧匠,"Yuan Yang Xianzhi's ""Xiaoxiangyu"" 4th fold: ""I took off this golden flower and eight treasures and phoenix crown, and took off this cloudy and colorful shoulders, and gave them to Miss Zhang's dressing table. I am willing to be Meixiang Ting. Make."""
2030,终南捷径,"Qing Cao Yin's ""Wanghui Mountain in the Boat, Lifting Wine and Adjusting the Mountain"": ""What is the difference between the Three Mountains and the Five Mountains?"
2031,自知之明,"Yuan Yue Bochuan's ""Tieguai Li"" first fold: ""A month ago, the boss came to write a document, saying that I have a lot of abuse and corrupt officials in Zhengzhou."""
2032,史不绝书,"""The Analects of Confucius, Duke Ling of Wei"": ""People with lofty ideals and benevolent people do not seek life to harm benevolence, but kill themselves to achieve benevolence."""
2033,振臂一呼,"Song Wang Mao's ""Wild Guest Series"": ""Because he read his grandfather Taishi Gongji on weekdays, so it was published in the purpose of the word, which happened unexpectedly."""
2034,人心不古,"""Zuo Zhuan: Zhaogong Eighth Year"": ""The words of a gentleman are trusted and worthy."""
2035,用武之地,"Jin Chen Shou's ""Three Kingdoms Xun You"": ""Lv Bu is brave and without strategy. Now the three battles are north, and his spirit is weakened."""
2036,仁人志士,"Jin Wang Xizhi's ""Journey to Kuaiji Wang Jian"": ""In the event of a thousand-year-old fortune, Gu Zhizhi succumbed to the past."""
2037,火眼金睛,"""New History of the Five Dynasties: Biography of Wang Yanzhang"": ""Leopards leave their skins when they die, and people leave their names when they die."""
2038,白山黑水,"Qing Yu Wanchun's ""Dang Kou Zhi"" Chapter 80: ""Then how Yang Tengjiao wrote his own confession, how Liu Er was restrained, the villain did not follow him, and I was afraid that he would be implicated by him, one is one, and the other is two. already."""
2039,附庸风雅,"Tang Wang Bo's ""Du Shaofu's Responsibility for Shuzhou"": ""There are confidants in the sea, and the ends of the earth are like neighbors. Inaction is a fork in the road, and children and children share towels."""
2040,千千万万,"""Shan Hai Jing Hai Nei Nan Jing"": ""A snake eats an elephant, and it emerges from its bones at the age of three."" Qu Yuan's ""Heavenly Questions"": ""A snake swallows an elephant, how big is it?"""
2041,堆积如山,"Song Shi Daoyuan's ""Jingde Chuan Deng Lu"", volume 19: ""Why is it that a certain armor does not dare to make mistakes."""
2042,风雨无阻,"Qing Zhao Yi's ""Oubei Poems: Li Qinglian's Poems"": ""When the people start, but the words are so sad, it is not the right sound; to Yang and Ma Yi. It will be more beautiful after Jian'an, and it is not enough."""
2043,吃喝玩乐,"The Eastern Han Dynasty Ban Gu's ""Han Shu Wu Xingzhi"": ""Afterwards, if you have to rebel against the country, you will not regret and blame yourself, and you will meet the princes to attack Zheng."""
2044,实至名归,"Jin, Chen Shou's ""Three Kingdoms, Dong Yun Chuan"": ""Chen Zhi replaced Yun as the servant, and Huang Hao was the inside and outside of each other."""
2045,日就月将,"Qing ,  Pu Songling's ""Strange Tales from a Liaozhai ,  Aunt Chou"": ""Uncle Zhong is still in a position to benefit his marriage, and he has repeatedly persuaded him to drive. Shaw is determined not to waver."""
2046,雾里看花,"Lu Xun's ""Book of Two Lands"" 5: ""But I believe that if there is any benefit, Mr."
2047,贻笑大方,"The twentieth chapter of ""Pain History"" by Wu Jianren of the Qing Dynasty: ""Because the Yuan Lord at that time wanted to win over people's hearts, and visited the Song Dynasty's relics, Chinese and foreign officials and a group of old Song Dynasty officials who were anti-Yan and attacked the enemy, all handed in the chapter to recommend Xie Fangde. """
2048,多难兴邦,"Song Hongmai's ""Continuation of Rongzhai"", Volume 11: ""Murong Shaozong defeated Hou Jing, and all the generals and commanders were out of reach, and he besieged Yingchuan, not knowing how to advance or retreat, and died in the water."""
2049,大雅之堂,"Qing Wu Jingzi's ""School of Foreign Affairs"", Chapter 43: ""It is related to the court system, how dare he take it, and he has to pay for the price of redemption. It is too much to see no king."""
2050,命中注定,"Tang Dynasty Li Hua's ""Ancient Battlefield"": ""To poison the living beings, thousands of miles of Zhu Yin."""
2051,死于非命,"Yuan Cang Zian's ""Wedge"": ""I have been studying the literature for ten years, and I am ashamed that I have not killed Wanli Pengcheng, so I am in the dust."""
2052,日复一日,"Southern Dynasties Song Fan Ye ""Han Han Shu Zhong Chang Tong Biography"": ""Fish and meat the common people to satisfy their desires."""
2053,柴米油盐,"Ming Shen Defu's ""Ye Huo Compilation"": ""We heard that there are floating sea walkers, and the traces are suspicious. It goes south to Fujian, Guangzhou and the coastal areas, all of which are traversed, and there is no news."""
2054,吹牛拍马,"Song Yezhi's ""Love Day Zhai Cong Banknotes"": ""(Yang Wanli) also has a poem ""Send Peng Yuanzhong"": 'Recently, you have a unique eye, and you have to step on the top of the Tang Dynasty.'"""
2055,高抬贵手,"""Mencius: Wan Zhang I"": ""If you want to see it often, it comes from a source."""
2056,匹夫之勇,"Song Chen Liang's ""Writing for the Witness of Zhao Wei's Mother"": ""I can't reach the hall, I hear the wind."""
2057,诸如此类,"""People's Drama"" No. 4, 1978: ""When Taizhou is lost, where are you going to occupy the mountains as kings? Forget it! The two of you don't have to ask the sky for a price."""
2058,空穴来风,"Ming Li Zhi's ""Book with Zhou Youshan"": ""I don't think it's too much to think about Zhongni. The princes abide by the Confucian family law."
2059,谦谦君子,"The ninth chapter of ""Lao Tzu"": ""The hall is full of gold and jade, and no one can guard it."""
2060,鸣金收兵,"Ming Zhu Ding's ""Jade Mirror Terrace: Wang Dunfan"": ""A man should be generous to righteousness, why should he be sad!"""
2061,逢山开路,"Qing, Pu Songling's ""Strange Stories from a Liaozhai, Zhang Hongjian"": ""Zhang Shiye is more reckless and wears hazel, and he is in a hurry;"
2062,闭门不出,"Song Lu You's ""The Moon in the Boat"": ""A hundred pots of wine travel in Lingyun, and when you are drunk, you wave your sleeves to say goodbye to an old friend. Yiyi can't bear to say goodbye to me. Who is like a half moon in Emei?"""
2063,见利思义,"""The Legacy of Xuanhe of the Great Song Dynasty"" enjoys the collection: ""Huizong complained incessantly, and suddenly woke up on the outside couch, and was so frightened that he was covered in cold sweat."""
2064,比翼双飞,"Ming Zhu Guozhen's ""Small Pieces"": ""In the future, I lost my wife, four children, another sister, and finally my mother. It was continuous, crying and sadness, and five hearts were tied."""
2065,积羽沉舟,"Yuan Zhong Sicheng's ""Recording Ghosts Book Preface"": ""Highly talented and knowledgeable, everything can be recorded, the years are passing by, and he has been obliterated."
2066,功成身退,"The thirty-fourth chapter of Qing Hongsheng's ""The Palace of Longevity"": ""Alas, An Lushan, Anlushan, you have received such a great favor from the emperor of Tang, but you are still raising troops to rebel. Don't blame me, Li Zhuer, for being ruthless today."""
2067,博施济众,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" Chapter 66: ""When I come to Japan to drive a small boat, I only need to follow more than ten people in person, go to the meeting alone, and see how Lu Su approaches me!"""
2068,慌不择路,"Tang Jiang Fang's ""Huo Xiaoyu Biography"": ""Sad emotional things, unhappy."""
2069,决胜千里,"Chen Shidao of the Song Dynasty, ""Notes on Poetry of Houshan, Prime Minister Wen Gong's Elegy"": ""One generation is exhausted, and the three teachers are respectful."""
2070,东奔西跑,"Ming Wu Cheng'en's ""Journey to the West"" Chapter 68: ""Fair trade, without changing him, without robbing him, what a crime!"""
2071,踔厉风发,"Pre-Qin, Li Er's ""Lao Tzu"": ""How much is the difference between the only one and A? What is the difference between beauty and evil?"""
2072,夺眶而出,"Song Huang Tingjian's ""Shepherd's Song"" poem: ""How many Chang'an fame and fortune, the organs are not as good as the king."""
2073,时和年丰,"Qing Cao Xueqin's ""Dream of Red Mansions"" seventh chapter: ""But because of these merits, when there are ancestors, they are treated differently. Now who is willing to make trouble for him?"""
