,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
1611,博大精深,40,culture,《左传·襄公二十六年》：“晋卿不如楚，其大夫则贤，皆卿材也。如杞梓、皮革，自楚往也。虽楚有才，晋实用之。”,写事-对立-⑼真假-假,4,bó dà jīng shēn,"""Zuo Zhuan: Xianggong Twenty-six Years"": ""Jin Qing is not as good as Chu, and its doctors are virtuous, all of whom are noble. Such as Qizi and leather, they have come from Chu. Although Chu has talents, Jin is practical.""",Writing things-opposites-(9) true-false-false,习近平新时代中国特色社会主义思想是一个主题鲜明、内容丰富、思想深邃、逻辑严谨、系统完整、博大精深的科学理论体系。
1612,利欲熏心,2,Hong Kong - Macau politics,《老子》第六十四章：“合抱之木，生于毫末；九层之台，起于累土；千里之行，始于足下。”,拿小题目做大文章。比喻把小事情当做大事情来处理。,2,lì yù xūn xīn,"The sixty-fourth chapter of ""Lao Tzu"": ""The tree that hugs is born at the end of the minute; the platform of nine layers starts from the pile of soil; the journey of a thousand miles begins with one step.""",Take a small topic and make a big article. The metaphor is to treat small things as big things.,背后那条若隐若现的交易链，最需连根揪出斩断。“野味”被端上桌之前，有一连串的非法捕猎、运输、屠宰、制作链条。我们惊讶于，链条上的每一个环节环环相扣，竟都“心照不宣”；我们愤怒于，链条上每一位经手“野味”的人，竟都利欲熏心，“和气生财”。
1613,大而无当,3,mainland China politics,明·吴承恩《西游记》第六十三回：“一则是那国王洪福齐天，二则是贤昆玉神通无量，我何功之有。”,形容对没有什么了不起的的事情过分惊讶。,2,dà ér wú dàng,"Ming Wu Cheng'en's ""Journey to the West"" Chapter 63: ""One is that the king is Hongfu Qitian, and the other is that Xian Kunyu has immeasurable supernatural powers, how can I contribute.""",Describe being overly surprised by something that is nothing remarkable.,最直接的原因是，相较于扎扎实实的工作，动动嘴皮子显然更容易。一些人在表态时，可能也是有干事之心的，但一旦动手，或是发现困难不少，或是自感能力不够，就打了退堂鼓。更深一层的原因是，调门拔得再高，一般也不会出错。讲些大而无当的原则，说些冠冕堂皇的决心，甚至是进行措辞严厉的批评，这些所谓“政治正确”的话，实在是像银行保险箱一样安全。
1614,偏听偏信,1,mainland China politics,清·张春帆《宦海》第六回：“这位章制军在两广做了几年，也没有什么丰功伟绩。”,写人-感情-⑺惊惧-惊慌,1,piān tīng piān xìn,"The sixth chapter of ""Huanhai"" by Zhang Chunfan of the Qing Dynasty: ""This regiment army has been in Guangdong and Guangxi for several years, and he has no great achievements.""",Writing about people - feelings - (7) fear - panic,从个人层面来说，要保持理性平和，对疫情有科学认知，积极做好个人防护，不偏听偏信、不盲从跟风、不信谣传谣，坚定战胜疫情信心。
1615,离心离德,3,International news,《旧唐书·礼仪志一》引《六韬》：“既而克殷，风凋雨顺。”,写人-言谈-⑴谈吐-其他,2,lí xīn lí dé,"""Old Tang Books: Etiquette Zhiyi"" quoted ""Six Taos"": ""Since the Yin is restrained, the wind and the rain are smooth.""",Writing about people - Talking - (1) Talking - Other,目前，美国国内社会极度分裂，国家形象恶化，国际号召力减弱，欧洲、日本等传统盟友正与美国离心离德，欧美、日美相互加征关税的摩擦也在进行中。
1616,恼羞成怒,1,mainland China politics,清·彭养鸥《黑籍冤魂》第二十回：“虽然有那良师益友，苦口婆心的规劝，却总是耳边风，纵有时听得入耳，自己要想发愤为雄，都是一般虎头蛇尾。”,本指态度和霭可亲。现也指互相之间只讲和气，不讲原则。,1,nǎo xiū chéng nù,"Qing Peng Yangou's 20th episode of ""Hei Ji's Wrongful Soul"": ""Although there are good teachers and friends, and hard-hearted persuasion, they are always deaf ears. Even if they sometimes hear it, if they want to be angry and become a hero, they are generally anticlimactic.""","Originally, it refers to a harmonious and friendly attitude. Now it also refers to the harmony between each other, not the principle.",虽不是现场照片，但内容真实无误。作为澳大利亚总理，莫里森本应深刻反思并将凶手绳之以法，给阿富汗人民和国际社会一个交代。但事实是：他无视本国军人手上沾染的无辜平民的鲜血，反而对他人的正义之声恼羞成怒、倒打一耙，令人极度不齿。
1617,得意洋洋,3,International news,《尚书·胤征》：“火焱昆岗，玉石俱焚。”,写人-行事-⑶态度-热情,2,dé yì yáng yáng,"""Shangshu, Yinzheng"": ""The fire is burning in Kungang, and the jade is burnt.""",Writing about people - Acting - (3) Attitude - Enthusiasm,与其他乱港头目在酒店里和“外籍人士”觥筹交错，黎智英得意洋洋地宣称“现在这个情况做得很好”，拿香港之伤、市民之痛邀功取赏，居心令人愤慨。
1618,兴高采烈,1,financial news,《孔子家语·六本》：“良药苦于口而利于病，忠言逆于耳而利于行。”,人和钱财都无着落或都有损失。,1,xìng gāo cǎi liè,"""Confucius Jiayu: Six Books"": ""Good medicine is painful to the mouth and beneficial to disease, and loyal words are contrary to the ear and beneficial to practice.""",Both people and money are unaccounted for or both are lost.,在西部的一个山村里，一对年轻夫妻正在盘点今年的“成绩单”。5年前，他们告别土里刨食的生计，开始学习做电商，帮乡亲卖农产品，今年的营业额已达1000多万元。当记者问他们明年有什么愿望时，这对兴高采烈的小夫妻立马红了眼眶，略带哽咽地说：“感谢祖国，祝愿明年更好！
1619,寥寥无几,3,sports,明·兰陵笑笑生《金瓶梅词话》第26回：“常言道，做了一天和尚撞了一天钟，往后贞节轮不到你身上了。”,写人-德才-⑸谦虚-谨慎,2,liáo liáo wú jǐ,"Ming Lanling Xiaoxiaosheng's ""Jin Ping Mei Poetry"" Chapter 26: ""As the saying goes, being a monk for one day hits the clock for a day, and chastity will not be your turn in the future.""",Writing about people - Virtue and talent - (5) Modesty and prudence,愈加完善的中国特色社会主义法律体系，正推动法治中国迈向更高境界。（记者白阳） 近日，正在上映的电影《邹碧华》中有这样一个令人印象深刻的细节：不管是法院的办公室，还是自己家中，法律相关的书籍总是堆满了整个房间。为什么处理复杂的司法案件、推进司法改革，邹碧华总是能够创新方法、找到方向？凭借的是他勤奋学习培养的扎实理论功底。而反观一些领导干部，整日忙忙碌碌、疲惫不堪，成绩却寥寥无几，根源在于没有抓住事业的重点，常常陷入事务主义的泥潭。
1620,手无寸铁,2,International news,清·曹雪芹《红楼梦》第五十四回：“于是大家蹑手蹑脚，潜踪进镜壁去一看。”,你看我，我看你，不知道如何是好。形容人们因惊惧或无可奈何而互相望着，都不说话。,2,shǒu wú cùn tiě,"Qing Cao Xueqin's ""A Dream of Red Mansions"" Chapter 54: ""So everyone tiptoed and sneaked into the mirror wall to take a look.""","You look at me, I look at you, don't know what to do. Describe people looking at each other out of fear or helplessness, all without speaking.",在这个人人皆可出彩的大舞台上，以奋斗为基调，每个人都能唱响圆梦之歌。 “手无寸铁的平民和囚犯被一些澳大利亚士兵枪杀或割喉，而这些澳大利亚士兵经常对‘大量非法杀戮行为’感到‘幸灾乐祸’。
1621,雨后春笋,7,financial news,宋·苏轼《伊尹论》：“后之君子，蹈常而袭故，惴惴焉惧不免于天下。”,写人-行事-⑶态度-慌张,3,yǔ hòu chūn sǔn,"Song Su Shi's ""Yi Yin Lun"": ""The gentlemen of the later generations will follow the routine and attack, so they are afraid and cannot avoid the world.""",Writing about people - Acting - (3) Attitude - Panic,让一部分人先富起来、先富带动后富，凝聚成发展的共识。1980年，浙江温州的章华妹领到了改革开放后第一张个体工商户营业执照。单一的公有制经济形态被打破，一大批“个体户”如雨后春笋般拔节生长。
1622,秋高气爽,1,International news,唐·杜甫《赠郑十八贲》诗：“古人日以远，青史字不泯。”,形容说话做事错杂紊乱。,1,qiū gāo qì shuǎng,"Tandoori Fu's poem ""Giving Zheng Shiba Ben"": ""The ancients are far away, and the history of the ancients is not lost.""",It describes the disorder of talking and doing.,”一首《我们走在大路上》，创作于上世纪60年代初，至今依然风靡大江南北，唱出了社会主义中国的豪情壮志。沿着几代人开辟的光辉道路，迎着民族复兴的壮丽前景，让我们一起守初心、担使命，奋力开拓更好未来！ 11月的希腊，秋高气爽，正值橄榄丰收的时节。
1623,欲壑难填,1,mainland China politics,《汉书·王莽传中》：“莽怒，免英官。后颇觉悟，曰：‘英亦未可厚非。’”,听凭自然的发展，不加领导或过问。,1,yù hè nán tián,"""Han Shu, Wang Mang Biography"": ""Reckless anger, exempt from British officials. Later, I became quite enlightened and said: 'British is not to be blamed.'""","Let nature take its course, without leadership or overtures.",从一些人的蜕变轨迹看，他们起初也能廉洁奉公，但随着职务提升、诱惑渐多，慢慢就欲望膨胀、贪念滋生。有的人觉得人家送点土特产，“苟不纳之，彼必疑且忿”，担心不收人家会不高兴，导致工作不好开展，其结果就是“针尖大的窟窿透过斗大的风”，一发而不可收；有的人觉得小贪小占不算腐便频频伸手，以至“身后有余忘缩手，眼前无路想回头”，却已回不了头了；有的人觉得为工作操劳辛苦，偶尔享受一下没什么，私门一开，便欲壑难填；有的人掌握了一点权力之后，享乐主义、拜金主义的种子就生根发芽，在腐败的泥淖中不能自拔。
1624,舍本逐末,3,culture,宋·陆九渊《荆国文公祠堂记》：“则畴昔从容问学，慷慨陈义，而诸君子之所深与者也。”,四面八方都有路可通。形容交通极便利。也形容通向各方。,2,shě běn zhú mò,"Song Lu Jiuyuan's ""Jing Guo Wengong Ancestral Hall"": ""In the past, he was calm in learning and generous in his righteousness, and the gentlemen were deeply involved.""",There are roads in all directions. Describe the extremely convenient transportation. It also describes the access to all sides.,比如，北京的前门大街，就是一个融合了中西风格，呈现出独特建筑文化、民俗文化积淀的特色历史街区。而人们之所以质疑当下的一些西式建筑热，就在于其舍本逐末、生搬硬套，缺少了对历史的敬畏和对文化的理解。
