,Chengyu,Explanation
2026,心向往之,Every bullet hits the target
2027,风云际会,"When you see a man about to fall into a trap, instead of reaching out to save him, you push him down and throw down a stone. The metaphor is to take advantage of a person in danger to trap him."
2028,壮志未酬,Writing about people - Virtue and talent - (14) despicable - trapping
2029,政出多门,"It refers to the talent that is hidden and undiscovered, and also refers to the talent that is hidden and not revealed."
2030,议论纷纷,Writing about people - virtue and talent - (13) talent - talent
2031,足不出户,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
2032,从恶如崩,Writing about people - Virtue and talent - (1) noble - helping people
2033,热情洋溢,Writing about people - experiences - (2) life and death - between life and death
2034,学海无涯,Apprehension: the mind is uncertain. The mind is extremely restless.
2035,蚍蜉撼树,It describes a keen eye that can see things that others cannot easily find.
2036,语言无味,Writing things-opposites-(1) how much-more
2037,愚公移山,Describe a person's appearance is clean and not vulgar.
2038,霸王别姬,Knowing incompletely and understanding imperfectly.
2039,一叶障目,Writing - Interaction -_- (5) Speech
2040,孟母三迁,Writing about people - mind -_- (17) uneasy
2041,水火无情,Refers to the part of the country that remains or is lost after the enemy invasion.
2042,游山玩水,Guests arrive here as if they were returning to their own homes. Describe the hospitality of guests.
2043,孔孟之道,"Round and round and round, in a continuous cycle."
2044,刚柔相济,Writing about people-movement-(2) walking-fast and slow
2045,成败得失,"Writing things - state of affairs - (8) fame - bad, small"
2046,以暴易暴,Writing about people - speech - (1) talk - good speech
2047,能工巧匠,"Work hard once to get things done, and then you can stop bothering later."
2048,终南捷径,"Writing about events - state of affairs - (3) results - obvious, good"
2049,自知之明,"Originally, when a person breathes, he exhales turbid air and inhales fresh air. Now it is mostly used as a metaphor to discard the old and bad, and absorb the new and good."
2050,史不绝书,Makes one's hair stand on end. Described as making someone extremely angry.
2051,振臂一呼,Indicates superior geographical conditions and mass base.
2052,人心不古,Writing - Situation - (5) Military - Combat
2053,用武之地,"When a melon is ripe, the tip of the melon falls off naturally. It means that once the time is ripe, things will naturally succeed."
2054,仁人志士,Writing - State of affairs - (5) Timing - Appropriate
2055,火眼金睛,"From: from, by; to: to. From the beginning to the end, referring to the whole process of development of things"
2056,白山黑水,To overwhelm an opponent by making one's presence known first. It is also used as a metaphor for doing something ahead of others.
2057,附庸风雅,Writing about people - feelings - (2) delighted - happy
2058,千千万万,I love it so much that I can't let go of it.
2059,堆积如山,Writing about people - moral talent - (13) talent - innovation
2060,风雨无阻,Writing about events - state of affairs - (2) changes - development
2061,吃喝玩乐,Hold your head and run away in panic like a mouse. Describing a wretched escape after being hit.
2062,实至名归,Writing things-opposition-(10) success or failure-failure
2063,日就月将,This refers to the fact that the words heard first or the impressions gained first tend to dominate the mind and are not easily accepted later when a different opinion is encountered.
2064,雾里看花,Writing about people-acting-(2) style-subjective
2065,贻笑大方,Refers to close combat. It is a metaphor for a fierce struggle face to face.
2066,多难兴邦,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
2067,大雅之堂,Writing about people - mind -_- (17) uneasy
2068,命中注定,It is a metaphor for the perfection of a person or thing.
2069,死于非命,The term refers to famous mountains and rivers with a long history.
2070,日复一日,Writing things-opposition-(10) success or failure-failure
2071,柴米油盐,Writing about people - virtue and talent - (19) arrogance and pride
2072,吹牛拍马,Writing about people - virtue and talent - (8) bravery and strength
2073,高抬贵手,Writing about people - experiences - (3) situations - tragic situations
2074,匹夫之勇,Writing about events-situations-(1) the way of the world-unrest
2075,诸如此类,Not the first or the second. Describe outstanding.
2076,空穴来风,Color: The color of the face. Describe the person's smug and excited appearance.
2077,谦谦君子,Writing about events - states of affairs - (6) association - presence
2078,鸣金收兵,"Do what each thinks is right. Metaphorically, each one does one thing."
2079,逢山开路,"Buddhist words of advice to change from evil to good. It is a metaphor that once a person who has done evil realizes his sin and is determined to change, he can still become a good person quickly."
2080,闭门不出,Writing about people-appearance-(2) demeanor-glowing
2081,见利思义,You don't need to bolt the door to sleep at night. Describe the social security situation is good.
2082,比翼双飞,Writing matter-situation-_-(2) Administration
2083,积羽沉舟,Do it with all your strength.
2084,功成身退,Do all kinds of bad things.
2085,博施济众,Writing about people - Acting - (2) Style - Steady
2086,慌不择路,Writing - Situation - (1) World - Save the country
2087,决胜千里,Writing objects - time - _ - long
2088,东奔西跑,Writing about people - Virtue and talent - (26) Stupidity - Confusion
2089,踔厉风发,It is a metaphor for keeping the same old routine and not seeking progress.
2090,夺眶而出,It refers to the announcement of the completion of a huge project or an important task.
2091,时和年丰,There is a beginning and an end. Refers to the ability to see things through to the end.
2092,开疆辟土,Writing - State of affairs - (4) Degree - completely
2093,尽心尽力,Words cannot describe it.
2094,动心忍性,Writing about people - mind -_- (8) difficult (helpless)
2095,狂风骤雨,The couple loves each other until they grow old.
2096,不仁不义,"Either in or out, it is in a dilemma. Describe the dilemma of going in or going out."
2097,鲸吞蚕食,Just how much time. Means not long after.
2098,轻歌曼舞,"Hold: pull. Described as very thoughtful, rest assured."
2099,国富兵强,Writing about people - feelings - (8) love - love pity
2100,搽脂抹粉,"Describes children as simple-minded, lively and lovely, without pretence or hypocrisy."
2101,蚕食鲸吞,Writing about people - Acting - (2) Style - Bureaucratic
2102,一草一木,Writing about people - mind -_- (17) uneasy
2103,半生不熟,The body is crushed and dies. The metaphor is to lose one's life for some purpose or in some danger.
2104,风急浪高,Very clear and understandable
2105,你追我赶,"The meaning of the phrase ""to be able to withstand"" and ""to seek the taste of"". The meaning is deep and long, worthy of careful consideration and pondering."
2106,逞强好胜,Buddhist term. It refers to the power of the Buddha to manifest all kinds of human appearances and speak to people. Now it refers to the use of personal experience to illustrate a certain truth.
2107,呼朋唤友,It is like the mainstay mountain standing in the rapids of the Yellow River. The metaphor is that a strong and independent person can play a pillar role in a turbulent and difficult environment.
2108,著书立说,A place as big as a bullet. Describe the place as very small.
